Rk_x,Player,Age_x,Team,Pos,G_x,GS_x,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Player-additional_x,Rk_y,Age_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_y,Player-additional_y,Rk,Tm,Salary,VORP_norm,BPM_norm,TS%_norm,WS_norm,PTS_norm,MPG_norm,AST_norm,TRB_norm,PER_norm,STL_norm,BLK_norm,Score,ValuePerMillion
244.0,Devin Carter,23.0,SAC,PG,38.0,12.0,18.4,3.2,7.7,0.414,0.8,3.0,0.263,2.4,4.7,0.511,0.466,1.8,2.5,0.713,0.9,2.3,3.3,2.7,0.9,0.2,1.4,1.3,8.9,,cartede02,344.0,23.0,PG,38.0,12.0,700.0,13.8,0.508,0.39,0.322,5.6,14.6,10.0,20.9,2.3,1.2,13.9,23.5,-0.2,0.4,0.2,0.012,-1.5,-1.2,-2.6,-0.1,,cartede02,267,SAC,4923720.0,0.15957446808510636,0.24736842105263154,0.3261802575107296,0.10714285714285714,0.19344262295081968,0.2974910394265233,0.18181818181818182,0.31506849315068486,0.3004115226337449,0.27777777777777773,0.25,0.21224717938148324,0.133148439332294
245.0,Herbert Jones,27.0,NOP,SF,56.0,56.0,28.4,3.3,8.5,0.383,1.4,4.6,0.309,1.8,3.9,0.47,0.467,0.9,1.1,0.806,0.8,2.6,3.4,2.8,1.6,0.5,1.3,3.2,8.9,,joneshe01,149.0,27.0,SF,56.0,56.0,1588.0,9.1,0.491,0.542,0.13,3.2,9.8,6.4,12.9,2.7,1.6,12.6,15.2,-0.4,1.1,0.7,0.022,-3.7,0.6,-3.1,-0.5,,joneshe01,130,NOP,13937574.0,0.10769230769230768,0.11199999999999999,0.0,0.07407407407407407,0.20161290322580644,0.6946564885496184,0.32,0.23333333333333328,0.04081632653061219,0.7777777777777778,0.4,0.19062193801060373,0.07235359458971198
246.0,Nolan Traoré,19.0,BRK,PG,56.0,31.0,22.2,3.3,8.6,0.38,1.1,3.4,0.318,2.2,5.1,0.422,0.444,1.3,1.7,0.787,0.3,1.5,1.8,3.8,0.8,0.4,2.3,2.1,8.9,,traorno01,224.0,19.0,PG,56.0,31.0,1243.0,7.9,0.479,0.401,0.196,1.2,8.4,4.6,27.2,1.8,1.7,19.9,22.8,-2.3,0.6,-1.6,-0.063,-4.8,-2.0,-6.8,-1.5,,traorno01,290,BRK,3811560.0,0.010638297872340434,0.02631578947368421,0.2017167381974248,0.0,0.19344262295081968,0.4336917562724014,0.30681818181818177,0.1095890410958904,0.05761316872427985,0.2222222222222222,0.5,0.11868636049988193,0.08870174938623294
247.0,Danny Wolf,21.0,BRK,PF,57.0,15.0,20.8,3.1,7.7,0.405,1.2,3.7,0.322,1.9,4.0,0.48,0.482,1.5,1.9,0.771,1.0,3.9,4.9,2.2,0.5,0.6,1.3,2.2,8.9,,wolfda01,235.0,21.0,PF,57.0,15.0,1187.0,12.3,0.521,0.48,0.248,5.3,23.2,13.8,17.1,1.2,2.5,13.0,20.6,-0.2,1.0,0.8,0.032,-2.2,-0.3,-2.5,-0.2,,wolfda01,327,BRK,2801280.0,0.1372549019607843,0.2052980132450331,0.28278688524590173,0.09782608695652174,0.26953125,0.4302788844621514,0.3272727272727273,0.3186813186813187,0.24253731343283585,0.19999999999999998,0.3157894736842105,0.21306306487150067,0.20684199091946262
250.0,Cody Williams,21.0,UTA,SG,67.0,41.0,24.3,3.6,7.6,0.468,0.4,2.0,0.214,3.1,5.6,0.556,0.495,1.3,1.8,0.706,0.9,2.0,3.0,2.0,0.8,0.4,1.1,1.8,8.8,,willico04,143.0,21.0,SG,67.0,41.0,1631.0,9.6,0.524,0.257,0.234,3.9,9.3,6.6,11.4,1.5,1.5,11.5,16.0,0.0,0.1,0.1,0.004,-3.6,-1.9,-5.5,-1.5,,willico04,241,UTA,5742480.0,0.0,0.14516129032258066,0.218009478672986,0.12903225806451615,0.23371647509578544,0.5596707818930041,0.25925925925925924,0.3448275862068966,0.14743589743589744,0.33333333333333337,0.3076923076923077,0.15338992177781227,0.0877571350936012
251.0,Justin Champagnie,24.0,WAS,SF,69.0,19.0,20.0,3.4,6.7,0.502,0.8,2.4,0.319,2.6,4.3,0.605,0.56,1.2,1.5,0.784,2.1,3.5,5.6,1.2,0.9,0.6,0.7,1.7,8.7,,champju01,194.0,24.0,SF,69.0,19.0,1377.0,17.3,0.589,0.359,0.221,11.1,19.0,15.0,8.7,2.0,2.7,8.2,16.7,2.4,0.8,3.1,0.109,0.6,-1.0,-0.4,0.6,,champju01,349,WAS,2349578.0,0.2769230769230769,0.32799999999999996,0.6322580645161288,0.29629629629629634,0.19354838709677413,0.37404580152671757,0.10666666666666666,0.47777777777777775,0.4591836734693878,0.38888888888888884,0.5,0.32392557425077206,0.37919927721011604
252.0,Jordan Goodwin,27.0,PHO,PG,70.0,10.0,22.5,3.3,7.9,0.413,1.6,4.3,0.371,1.7,3.6,0.462,0.514,0.6,0.8,0.696,2.0,2.9,4.9,2.2,1.5,0.2,1.0,1.9,8.7,,goodwjo01,152.0,27.0,PG,70.0,10.0,1572.0,14.7,0.525,0.544,0.101,9.4,14.8,12.0,13.6,3.3,0.9,10.5,17.5,1.5,2.4,3.9,0.118,0.3,1.5,1.8,1.5,,goodwjo01,350,PHO,2349578.0,0.32978723404255317,0.4789473684210526,0.3991416309012876,0.3273809523809524,0.18688524590163932,0.4444444444444445,0.125,0.5342465753424658,0.33744855967078186,0.611111111111111,0.25,0.3360460808462948,0.3933879912413352
253.0,Day'Ron Sharpe,24.0,BRK,C,62.0,7.0,18.7,3.5,5.7,0.601,0.1,0.6,0.231,3.3,5.1,0.647,0.614,1.7,2.5,0.678,2.8,3.9,6.7,2.3,1.1,0.4,1.7,2.4,8.7,,sharpda01,245.0,24.0,C,62.0,7.0,1160.0,20.5,0.638,0.11,0.427,16.2,25.7,20.7,21.1,2.9,2.1,20.0,19.9,2.0,1.5,3.5,0.144,0.4,1.0,1.4,1.0,,sharpda01,230,BRK,6250000.0,0.17171717171717174,0.3694581280788178,0.4765625,0.21917808219178084,0.22131147540983606,0.34285714285714286,0.19230769230769232,0.3861386138613861,0.46606334841628966,0.7692307692307694,0.10000000000000002,0.28330687754647277,0.15459442494141837
254.0,Jonas Valančiūnas,33.0,DEN,C,65.0,6.0,13.4,3.5,6.0,0.582,0.1,0.4,0.308,3.4,5.6,0.602,0.592,1.6,2.1,0.772,1.6,3.4,5.1,1.2,0.2,0.6,1.1,2.0,8.7,,valanjo01,310.0,33.0,C,65.0,6.0,871.0,22.0,0.63,0.067,0.349,14.2,27.5,21.2,14.1,0.8,4.0,14.0,26.1,1.8,1.1,2.9,0.162,0.5,-0.5,0.0,0.4,,valanjo01,168,DEN,10395000.0,0.11111111111111113,0.30049261083743845,0.44531249999999994,0.17808219178082194,0.22131147540983606,0.12653061224489795,0.08653846153846154,0.22772277227722768,0.5339366515837105,0.07692307692307694,0.16666666666666666,0.21626986259374417,0.09237071737686914
255.0,Jordan Clarkson,33.0,NYK,SG,72.0,1.0,17.8,3.3,7.3,0.451,1.0,3.0,0.327,2.3,4.3,0.535,0.517,1.1,1.3,0.83,0.9,0.9,1.8,1.3,0.4,0.1,0.9,1.7,8.6,,clarkjo01,219.0,33.0,SG,72.0,1.0,1279.0,11.6,0.548,0.407,0.179,5.4,5.7,5.6,10.7,1.2,0.7,10.0,21.1,0.9,1.0,1.9,0.072,-1.9,-1.4,-3.3,-0.4,,clarkjo01,166,UTA,12947835.0,0.1929824561403509,0.32258064516129037,0.33175355450237004,0.32258064516129037,0.22605363984674326,0.2921810699588478,0.12962962962962962,0.13793103448275862,0.27564102564102566,0.11111111111111112,0.07692307692307693,0.2293042275815379,0.0895394851051288
